"GEOID","NAME","tot_popE","pop_den","white_ratio","black_ratio","other_ratio","median_incomeE","less_than_hs_ratio","Commercial","HighdensityResidential","Industrial","Institutional","LowdensityResidential","ResidentialCommercial","min_station_dist"
"131210082022","Block Group 2; Census Tract 82.02; Fulton County; Georgia",928,0.00105957355448358,0,0.974137931034483,0.021551724137931,20323,0.146324054246966,0.02,0,5.12,0,92.89,1.96,1442.74615042036
"131210041002","Block Group 2; Census Tract 41; Fulton County; Georgia",632,0.0020645361769833,0.162974683544304,0.729430379746835,0.0174050632911392,38450,0.0644959298685034,0,2.43,0,0,97.51,0.05,1400.81550354374
"131210091043","Block Group 3; Census Tract 91.04; Fulton County; Georgia",933,0.00536427878281125,0.830653804930332,0.0964630225080386,0.0728831725616292,68695,0.00619674670797831,16.9,82.22,0,0.78,0.11,0,2352.12479715532
"131210094091","Block Group 1; Census Tract 94.09; Fulton County; Georgia",949,0.00411531650021949,0.308746048472076,0.596417281348788,0.0769230769230769,43281,0.0857338820301783,0,51.14,0,0,48.87,0,1273.42528590532
"131210073012","Block Group 2; Census Tract 73.01; Fulton County; Georgia",1480,0.00269830738370369,0,0.917567567567568,0,32062,0.0658964484381686,0,27.08,0,0,72.92,0,3490.56144723417
"131210040001","Block Group 1; Census Tract 40; Fulton County; Georgia",1374,0.00181385304301584,0.270742358078603,0.681950509461427,0.0473071324599709,38239,0.0898670334708849,1.93,0,0,0,98.07,0,1879.05643817961
"131210095011","Block Group 1; Census Tract 95.01; Fulton County; Georgia",613,0.000673067962224204,0.903752039151713,0,0,84897,0.0164756446991404,0.46,5.37,0,0,94.17,0,2834.9408217901
"131210013021","Block Group 1; Census Tract 13.02; Fulton County; Georgia",963,0.00342576542592141,0.347871235721703,0.652128764278297,0,88333,0.0537780803267529,24.96,17.38,0.6,0,9.76,47.3,1523.70722002717
"131210052002","Block Group 2; Census Tract 52; Fulton County; Georgia",1372,0.00208659624705248,0.846209912536443,0.112244897959184,0,82745,0.0418994413407821,1.36,8.91,0.01,0.01,88.8,0.89,1639.61523917525
"131210060001","Block Group 1; Census Tract 60; Fulton County; Georgia",857,0.00258691175015318,0.17852975495916,0.73512252042007,0.0128354725787631,32235,0.0894759267149553,10.11,0,0,0,89.89,0,2079.32285379947
