OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
41377,220278026,10/26/2022 4:09:13 PM,,,Wednesday,4,7,703,6000 N TERMINAL PKWY,Air/ Bus/ Train Terminal,13C,Intimidation,PERSON,N,,,Morning Watch,-84.443282,33.641279,,,,Part II,1,3af90926-db32-465a-b805-ace34bf3eb4a,-84.443282,33.6412790000001
52111,221050835,10/28/2022 5:38:34 AM,4/15/2022 3:00:00 AM,4/15/2022 12:30:00 PM,Thursday,5,3,305,323 DALTON ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.377606,33.719914,Chosewood Park,Y,1,Part II,1,4cd37ec7-503a-46d3-9e47-063680f7dd96,-84.377606,33.7199140000001
52683,221320696,10/28/2022 1:08:07 PM,5/12/2022 2:29:00 PM,10/28/2022 1:00:00 PM,Thursday,5,4,405,MLK DR NW / WESTLAND BLVD NW,Highway/ Road/ Alley/ Street/ Sidewalk,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.472941,33.753639,Harland Terrace,I,10,Part II,1,857c5c30-2e15-4ab8-a173-493abece6b5b,-84.4729409999999,33.7536390000001
56853,221671725,10/24/2022 7:00:18 PM,6/16/2022 2:54:00 AM,6/17/2022 9:30:00 AM,Wednesday,4,6,605,301 MEMORIAL DR SE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.377665,33.746504,Grant Park,W,1,Part I,1,8f196400-ee54-4729-a9e5-201caa9cb109,-84.377665,33.7465040000001
59006,221681279,10/27/2022 10:24:22 PM,6/17/2022 6:40:00 PM,6/17/2022 8:00:00 PM,Friday,6,6,605,441 CAMERON ST SE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.365292,33.742351,Grant Park,W,1,Part II,1,87e5e48c-1f3e-45ab-be66-760846fc57ab,-84.365292,33.742351
59991,221921099,10/12/2022 2:18:45 AM,10/11/2022 4:00:00 AM,10/11/2022 4:00:00 AM,Tuesday,3,3,310,2559 JONESBORO RD SE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.366944,33.683641,Browns Mill Park,Z,1,Part I,1,bd67738b-c8a4-4482-aeaa-e6dc1afe6af4,-84.366944,33.6836410000001
60818,221821245,10/22/2022 1:01:24 AM,7/1/2022 6:30:00 PM,7/1/2022 7:00:00 PM,Friday,6,6,607,735 HAMILTON AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.363837,33.725518,Boulevard Heights,W,1,Part II,1,b6b6d17b-1088-4dd1-8413-06f0288ac7da,-84.363837,33.7255180000001
64878,222301103,10/21/2022 10:50:54 PM,8/5/2022 1:00:00 PM,8/5/2022 2:00:00 PM,Friday,6,6,608,442 OAKDALE RD NE,Park/ Playground,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.341962,33.766297,Candler Park,N,2,Part I,1,05decc94-b0c3-4ad4-9533-37a59936ec41,-84.341962,33.7662970000001
64891,222301646,10/21/2022 8:59:37 PM,8/17/2022 10:30:00 PM,8/18/2022 12:00:00 PM,Wednesday,4,6,601,1028 SAINT CHARLES AVE NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.353732,33.775665,Virginia Highland,F,6,Part II,1,0b3ed2be-93c5-4540-9f94-d2a065809645,-84.353732,33.7756650000001
64991,222330845,10/11/2022 4:19:41 PM,8/18/2022 6:00:00 AM,8/21/2022 3:05:00 PM,Thursday,5,1,106,1024 DONALD LEE HOLLOWELL PKWY NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.420999,33.773048,Bankhead,K,3,Part II,,e883d35e-fbaa-4084-84de-5b196880269c,-84.4209989999999,33.7730480000001
65113,222211175,10/12/2022 10:43:52 AM,8/9/2022 6:18:00 PM,,Tuesday,3,1,114,3493 DONALD LEE HOLLOWELL PKWY NW,Government/ Public Building,26F,Identity Theft,PROPERTY,N,,,Morning Watch,-84.502188,33.795059,Atlanta Industrial Park,G,9,Part II,,49f25a81-28a6-4e90-ba48-efb1e9fd1e7c,-84.502188,33.795059
66529,222442349,10/7/2022 10:46:58 PM,9/2/2022 2:00:00 AM,9/2/2022 3:51:00 AM,Thursday,5,1,103,1271 MARIETTA BLVD NW,Bar/ Nightclub,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.428187,33.789494,Blandtown,D,9,Part I,1,70534a35-06f7-45a0-a2e3-1fecab6262e2,-84.428187,33.789494
67695,222551345,10/6/2022 7:34:04 PM,9/12/2022 7:15:00 PM,9/12/2022 7:20:00 PM,Monday,2,3,303,565 WELLS ST SW,Residence/ Home / Apartment / Condo,13C,Intimidation,PERSON,N,,,Evening Watch,-84.406012,33.740471,Mechanicsville,V,4,Part II,1,433cbeb7-bdef-4196-93d7-7b3d89646cf7,-84.406012,33.7404710000001
67759,222550710,10/6/2022 5:44:48 PM,3/17/2011 12:00:00 PM,8/13/2014 12:00:00 PM,Thursday,5,4,406,3122 VALLEYDALE DR SW,Residence/ Home / Apartment / Condo,26F,Identity Theft,PROPERTY,N,,,Day Watch,-84.490268,33.726407,Magnum Manor,I,10,Part II,1,a6c6e13b-c8af-417f-9848-8f3fe8d273a8,-84.490268,33.7264070000001
67943,222571073,10/17/2022 12:37:22 PM,9/14/2022 5:14:00 PM,9/14/2022 7:00:00 PM,Wednesday,4,3,308,2120 FORREST PARK RD SE,School - Elementary/ Secondary,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.35886,33.695555,Norwood Manor,Z,1,Part I,1,e46a58c6-9979-4e31-848c-7dcffae26265,-84.3588599999999,33.6955550000001
68750,222641229,10/1/2022 3:37:50 PM,9/21/2022 5:00:00 PM,9/21/2022 5:10:00 PM,Wednesday,4,6,609,1572 HARDEE ST NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Day Watch,-84.334332,33.756515,Edgewood,O,5,Part II,1,4f282477-0be1-4acf-9d15-bc396eaf7bdf,-84.334332,33.756515
68867,222651672,10/14/2022 8:44:10 PM,9/1/2022 11:40:00 PM,9/2/2022 12:00:00 AM,Thursday,5,6,603,608 RALPH MCGILL BLVD NE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.367589,33.764066,Old Fourth Ward,M,2,Part I,1,f9363a9f-803f-41ed-8b82-b5faafeadf0f,-84.367589,33.7640660000001
68998,222650609,10/28/2022 2:44:29 PM,9/15/2022 5:00:00 PM,9/22/2022 4:35:00 PM,Thursday,5,3,305,1265 LAKEWOOD AVE SE,Construction Site,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.382553,33.719316,South Atlanta,Y,1,Part I,,b9ee8fe1-de88-4484-9a14-222d815c26b1,-84.382553,33.719316
69068,222661141,10/13/2022 3:37:18 PM,11/1/2020 4:00:00 AM,12/1/2020 4:00:00 AM,Sunday,1,5,512,133 PEACHTREE ST SW,Parking/ Drop Lot/ Garage,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.393079,33.751204,Downtown,M,4,Part I,1,65144c16-d10f-4f20-ada6-842ca88f2ab4,-84.3930789999999,33.751204
69135,222670325,10/2/2022 7:58:40 PM,9/24/2022 6:30:00 AM,9/24/2022 6:40:00 AM,Saturday,7,5,512,241 FORSYTH ST SW,Gambling Facility/ Casino/ Race Track,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.397316,33.748275,Downtown,M,4,Part II,1,50bf1caf-3d4f-45fa-8c78-cd97df05164a,-84.397316,33.748275
69350,222680946,10/11/2022 12:33:57 PM,9/25/2022 5:20:00 PM,9/25/2022 6:00:00 PM,Sunday,1,2,209,10 JEFFERSON HILL PL NE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.382744,33.870712,East Chastain Park,B,8,Part II,1,7aecaa32-aaff-444f-9975-85171dd08ed4,-84.3827439999999,33.870712
69373,222681401,10/24/2022 11:58:31 PM,9/24/2022 10:00:00 PM,9/25/2022 10:00:00 PM,Saturday,7,6,601,793 AMSTERDAM AVE NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.361219,33.787368,Virginia Highland,F,6,Part II,1,b7d0e208-3701-41c0-83be-8078c045c733,-84.3612189999999,33.7873680000001
69464,222691571,10/3/2022 1:36:19 PM,9/26/2022 10:23:00 PM,,Monday,2,4,413,3810 CAMPBELLTON RD SW,Hotel/ Motel/ Etc.,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.513463,33.69025,,P,11,Part II,,bbd10485-f548-49ee-a8a9-6a1622648da6,-84.5134629999999,33.69025
69699,222730107,10/2/2022 7:14:43 PM,9/30/2022 2:30:00 AM,9/30/2022 4:50:00 AM,Thursday,5,5,505,PENN AVE NE / PONCE DE LEON AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.379034,33.772578,Midtown,E,2,Part II,1,2c257829-1050-48fb-b676-30c0f1dbd7ab,-84.379034,33.7725780000001
69719,222708014,10/6/2022 12:34:56 AM,9/28/2022 12:17:00 AM,,Tuesday,3,7,706,6000 S TERMINAL PKWY,Air/ Bus/ Train Terminal,23D,Theft From Building,PROPERTY,N,,,Evening Watch,-84.443025,33.64004,,,,Part I,,9df97c2a-9233-45a2-94c5-f99fb33e2b93,-84.443025,33.6400400000001
69738,222711935,10/2/2022 1:15:09 AM,9/29/2022 12:00:00 AM,9/29/2022 1:20:00 AM,Wednesday,4,1,109,2523 HOOD AVE NW,Residence/ Home / Apartment / Condo,13C,Intimidation,PERSON,N,,,Evening Watch,-84.469592,33.772965,Center Hill,J,9,Part II,1,dd12c54b-4c08-4d5f-9451-8412ff6e4b9e,-84.469592,33.7729650000001
69749,222720688,10/18/2022 5:14:04 PM,9/27/2022 4:00:00 AM,10/18/2022 4:00:00 AM,Tuesday,3,5,512,155 FORSYTH ST SW,Other/Unknown,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.395596,33.750351,Downtown,M,4,Part I,1,33f0bc55-66da-4a75-9e05-4f3a5cbe0346,-84.395596,33.750351
69769,222721749,10/15/2022 10:47:06 PM,9/28/2022 12:00:00 PM,9/28/2022 6:00:00 PM,Wednesday,4,5,505,659 PEACHTREE ST NE,Hotel/ Motel/ Etc.,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.384488,33.772579,Midtown,E,2,Part I,1,36991efd-b421-41c7-b63c-203b5bdc61bc,-84.384488,33.7725790000001
69800,222731466,10/2/2022 12:39:23 AM,9/30/2022 9:58:00 PM,9/30/2022 10:00:00 PM,Friday,6,3,309,2353 METROPOLITAN PKWY SW,Government/ Public Building,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.409464,33.699198,Sylvan Hills,X,12,Part II,,b828811e-5939-4807-9376-5b41ebb39b6b,-84.409464,33.699198
69807,222731982,10/1/2022 4:35:49 AM,9/30/2022 11:00:00 PM,10/1/2022 2:30:00 AM,Friday,6,5,503,1065 PEACHTREE ST NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.382825,33.783638,Midtown,E,2,Part I,1,4b74ce40-5b53-4455-82c3-6aa008a2eee3,-84.382825,33.7836380000001
69808,222731982,10/1/2022 4:35:49 AM,9/30/2022 11:00:00 PM,10/1/2022 2:30:00 AM,Friday,6,5,503,1065 PEACHTREE ST NE,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.382825,33.783638,Midtown,E,2,Part II,1,4f029b6c-9554-4249-8158-008c691ffed4,-84.382825,33.7836380000001
69809,222732015,10/1/2022 5:56:45 AM,10/1/2022 2:40:00 AM,10/1/2022 2:45:00 AM,Friday,6,3,305,1553 JONESBORO RD SE,Convenience Store,120,Robbery,PROPERTY,Y,,,Evening Watch,-84.382088,33.71059,South Atlanta,Y,1,Part I,1,df30c5bf-b14e-4c64-b3ec-fd190f9e1643,-84.382088,33.71059
69813,222740170,10/1/2022 6:28:57 AM,10/1/2022 4:30:00 AM,10/1/2022 5:20:00 AM,Saturday,7,6,604,63 FITZGERALD ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.372921,33.752503,Sweet Auburn,M,5,Part I,1,701556d2-4bed-46ff-a015-8b7927249dc0,-84.372921,33.752503
69814,222740201,10/1/2022 7:39:50 AM,10/1/2022 5:30:00 AM,10/1/2022 6:14:00 AM,Saturday,7,2,212,269 ARMOUR DR NE,Bar/ Nightclub,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.378565,33.812011,,E,6,Part I,2,86ff28eb-22a4-44f9-b997-2b98f7026f25,-84.378565,33.812011
69815,222740709,10/1/2022 3:08:05 PM,10/1/2022 1:00:00 AM,10/1/2022 9:30:00 AM,Friday,6,4,403,1316 OAKLAND DR SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.42728,33.719125,Oakland City,S,4,Part I,1,1615a821-fe2c-4a18-a260-9df50707d952,-84.4272799999999,33.7191250000001
69816,222740709,10/1/2022 3:08:05 PM,10/1/2022 1:00:00 AM,10/1/2022 9:30:00 AM,Friday,6,4,403,1316 OAKLAND DR SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.42728,33.719125,Oakland City,S,4,Part II,1,c8991b78-b7f4-4b0a-b0f3-1d6bafbfb61d,-84.4272799999999,33.7191250000001
69817,222740768,10/1/2022 4:07:29 PM,10/1/2022 2:30:00 AM,10/1/2022 3:00:00 PM,Friday,6,5,511,54 PEACHTREE ST SW,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.391196,33.752856,Downtown,M,4,Part II,1,4b00acfb-3f6c-4426-b4e2-7d64885d0422,-84.391196,33.7528560000001
69818,222740809,10/1/2022 3:59:33 PM,10/1/2022 3:32:00 PM,10/1/2022 3:32:00 PM,Saturday,7,1,102,875 MARTIN L KING JR DR NW,Restaurant,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.415825,33.755004,Vine City,L,3,Part I,1,7f419e4e-aa5c-4424-86f9-2530fabf61fc,-84.415825,33.755004
69819,222740820,10/1/2022 5:28:27 PM,10/1/2022 4:24:00 PM,10/1/2022 6:28:00 PM,Saturday,7,6,601,815 CRESTRIDGE DR NE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.360448,33.78375,Virginia Highland,F,6,Part I,1,a2c5f3f2-3fb5-4fce-9d8c-c6ca2f206270,-84.360448,33.7837500000001
69820,222740836,10/1/2022 4:50:43 PM,10/1/2022 4:00:00 PM,10/1/2022 4:54:00 PM,Saturday,7,4,407,320 FAIRBURN RD SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Day Watch,-84.508116,33.748764,Fairburn Mays,H,10,Part I,1,2d5be9c1-df9d-4cb0-a948-adf0cdd6bc96,-84.508116,33.7487640000001
69821,222740868,10/1/2022 4:40:12 PM,10/1/2022 4:08:00 PM,10/1/2022 4:41:00 PM,Saturday,7,3,310,2209 JERNIGAN DR SE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.372757,33.693859,Lakewood,Z,1,Part II,1,a2f789ff-bd31-49bb-866f-128e9ce8050b,-84.372757,33.693859
69822,222741058,10/1/2022 7:51:45 PM,10/1/2022 6:13:00 PM,10/1/2022 7:52:00 PM,Saturday,7,5,503,8TH ST NW / SPRING ST NW,Restaurant,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.388804,33.779493,Midtown,E,2,Part II,1,0d5345a9-08de-467a-b0dc-c1e4e81c8358,-84.3888039999999,33.7794930000001
69823,222741104,10/1/2022 8:12:22 PM,10/1/2022 6:49:00 PM,10/1/2022 8:12:00 PM,Saturday,7,6,603,675 PONCE DE LEON AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.365036,33.772963,Old Fourth Ward,M,2,Part II,1,09625f92-1116-4622-90bf-1d232f3a145b,-84.365036,33.7729630000001
69898,222731961,10/1/2022 4:21:44 AM,10/1/2022 2:15:00 AM,10/1/2022 3:50:00 AM,Friday,6,4,406,2770 VELTRE TER SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.479174,33.723105,Audobon Forest West,I,10,Part II,1,a8afe5de-59f2-4734-a8e0-17a441c88093,-84.4791739999999,33.723105
69899,222732012,10/1/2022 4:42:26 AM,10/1/2022 2:40:00 AM,10/1/2022 2:45:00 AM,Friday,6,1,109,980 HOLLYWOOD RD NW,Convenience Store,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.456378,33.781639,Grove Park,J,9,Part I,2,9fd3f394-8d2f-4be3-bce2-2147e1742adc,-84.456378,33.781639
69900,222732033,10/1/2022 4:31:41 AM,10/1/2022 2:55:00 AM,10/1/2022 4:31:00 AM,Friday,6,1,102,65 JOSEPH E LOWERY BLVD NW,Air/ Bus/ Train Terminal,120,Robbery,PROPERTY,Y,,,Evening Watch,-84.417362,33.756437,Vine City,L,3,Part I,1,e3a4fd12-e3a0-4ffe-bcef-b7db61ac82a5,-84.417362,33.7564370000001
69906,222740028,10/1/2022 5:11:33 AM,10/1/2022 4:00:00 AM,10/1/2022 4:11:00 AM,Saturday,7,1,102,663 THURMOND ST NW,Government/ Public Building,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.409137,33.761622,Vine City,L,3,Part I,1,933d87ed-2575-4125-9c43-779290559bfa,-84.409137,33.761622
69907,222740219,10/1/2022 9:26:16 AM,10/1/2022 3:00:00 AM,10/1/2022 6:00:00 AM,Friday,6,6,604,488 EDGEWOOD AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.371665,33.75448,Old Fourth Ward,M,2,Part I,1,2686f15a-85f3-4501-a75c-7a48a7fa0399,-84.371665,33.7544800000001
69908,222740233,10/1/2022 7:35:18 AM,10/1/2022 5:00:00 AM,10/1/2022 6:25:00 AM,Saturday,7,1,101,788 PARSONS ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.413328,33.750723,Atlanta University Center,T,4,Part I,1,6e57277e-48f3-4a7b-8f38-cabfd1592702,-84.413328,33.7507230000001
69909,222740352,10/1/2022 8:57:25 AM,10/1/2022 8:06:00 AM,10/1/2022 8:12:00 AM,Saturday,7,1,114,3263 DONALD LEE HOLLOWELL PKWY NW,Service/ Gas Station,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.493919,33.787852,English Park,G,9,Part II,1,442a6ff2-4e48-4a33-adaf-3c3f0eb9c683,-84.4939189999999,33.787852
69910,222740397,10/1/2022 11:47:48 AM,10/1/2022 4:01:00 AM,10/1/2022 9:00:00 AM,Saturday,7,1,111,195 FAIRBURN RD NW,Residence/ Home / Apartment / Condo,11A,Rape,PERSON,N,,,Morning Watch,-84.504185,33.761037,Adamsville,H,10,Part I,1,e79e1831-22a1-457d-9204-0c6ed40324f3,-84.5041849999999,33.761037
69911,222740524,10/1/2022 3:04:48 PM,10/1/2022 12:19:00 PM,10/1/2022 3:04:00 PM,Saturday,7,6,612,1426 MAY AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.340649,33.739182,East Atlanta,W,5,Part I,1,0a7c1939-d017-4978-b4cb-ef5b72d2496d,-84.340649,33.739182
69912,222740551,10/1/2022 4:34:02 PM,10/1/2022 11:49:00 AM,10/1/2022 12:30:00 PM,Saturday,7,1,111,62 HARWELL RD NW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Day Watch,-84.49301,33.753619,,I,10,Part I,1,681887d8-71ec-45c6-a82b-c188ecb7db54,-84.49301,33.7536190000001
69913,222740571,10/1/2022 1:56:25 PM,10/1/2022 8:00:00 AM,10/1/2022 9:00:00 AM,Saturday,7,6,612,1368 EASTGATE CT SE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.343805,33.736136,East Atlanta,W,5,Part I,1,f81112bd-8607-4728-889a-ff5bd480d487,-84.343805,33.736136
69914,222740806,10/1/2022 6:02:37 PM,9/30/2022 9:00:00 PM,10/1/2022 12:00:00 PM,Friday,6,6,602,1124 DEKALB AVE NE,Residence/ Home / Apartment / Condo,23G,Theft of Motor Vehicle Parts or Accessories,PROPERTY,N,,,Evening Watch,-84.350944,33.759658,Inman Park,N,2,Part I,1,bf84e791-c340-4a74-92bb-13e43f16dbf2,-84.350944,33.7596580000001
69915,222740814,10/1/2022 4:31:39 PM,9/30/2022 3:30:00 PM,10/1/2022 3:30:00 PM,Friday,6,2,202,420 VALLEY RD NW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.401601,33.857284,Tuxedo Park,A,8,Part I,1,a56bd4b1-b6b3-4087-9023-e9a542da2e90,-84.401601,33.857284
69916,222740831,10/1/2022 8:51:22 PM,9/30/2022 6:45:00 PM,9/30/2022 6:56:00 PM,Friday,6,5,501,1105 NORTHSIDE DR NW,Restaurant,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.406869,33.784947,Home Park,E,3,Part I,,3a1391d6-3203-4586-8c36-5bc78d51cca4,-84.406869,33.784947
69917,222740995,10/1/2022 6:58:31 PM,9/26/2022 8:15:00 PM,9/29/2022 5:00:00 PM,Monday,2,1,114,3815 MARTIN L KING JR DR NW,Residence/ Home / Apartment / Condo,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.513628,33.768673,Old Gordon,H,10,Part II,1,ab42355f-5b4c-4acb-b191-defd91c3d1b5,-84.513628,33.768673
69918,222741124,10/1/2022 9:20:30 PM,10/1/2022 6:59:00 PM,10/1/2022 9:20:00 PM,Saturday,7,1,113,1620 HOLLYWOOD RD NW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.470184,33.799405,Scotts Crossing,G,9,Part I,1,23896b47-af36-4fa7-b678-2247e2b4d691,-84.470184,33.799405
69919,222741125,10/1/2022 7:43:37 PM,10/1/2022 7:03:00 PM,10/1/2022 7:43:00 PM,Saturday,7,5,512,215 FORSYTH ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.396802,33.748925,Downtown,M,4,Part II,,1c5e34c8-2487-4a48-868e-c8f23c8d528f,-84.396802,33.748925
69920,222741154,10/2/2022 1:03:55 AM,10/1/2022 7:27:00 PM,10/1/2022 8:22:00 PM,Saturday,7,4,409,2989 CAMPBELLTON RD SW,Service/ Gas Station,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.485971,33.696547,Southwest,R,11,Part I,,272495e9-52fe-4e6e-86c9-cea326f13074,-84.4859709999999,33.6965470000001
69921,222741344,10/1/2022 9:30:48 PM,10/1/2022 9:10:00 PM,10/1/2022 9:30:00 PM,Saturday,7,4,401,565 LANGHORN ST SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.432739,33.73976,Westview,T,4,Part I,1,1a1ec971-67dc-4e22-aaba-b1e63dbdfa5c,-84.432739,33.73976
69922,222741392,10/2/2022 1:23:19 AM,10/1/2022 4:00:00 AM,10/1/2022 4:00:00 AM,Saturday,7,3,311,532 CLEVELAND AVE SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.406759,33.680134,Hammond Park,X,12,Part II,1,1b3d4252-ccc3-418d-a5a7-866c4b050951,-84.406759,33.6801340000001
69923,222741459,10/2/2022 1:24:15 AM,10/1/2022 10:06:00 PM,10/1/2022 10:20:00 PM,Saturday,7,3,311,2763 METROPOLITAN PKWY SW,Convenience Store,35B,Drug Equipment Violations,SOCIETY,N,,,Evening Watch,-84.40816,33.679857,Hammond Park,X,12,Part II,,5e13e9f2-1707-4924-8db5-29b198ea0cd7,-84.40816,33.679857
69924,222741141,10/2/2022 1:20:51 AM,10/1/2022 7:19:00 PM,10/1/2022 7:22:00 PM,Saturday,7,5,512,215 FORSYTH ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.396802,33.748925,Downtown,M,4,Part II,,1fb284ec-26dc-48de-8e7f-59ffc906d2f7,-84.396802,33.748925
69925,222741184,10/1/2022 8:07:42 PM,10/1/2022 7:48:00 PM,10/1/2022 8:07:00 PM,Saturday,7,4,403,1125 CASCADE CIR SW,Government/ Public Building,11D,Fondling,PERSON,N,,,Evening Watch,-84.450135,33.725182,Cascade Avenue/Road,S,11,Part II,1,76532c1f-dab7-473b-812d-fc5f895bfb8b,-84.450135,33.7251820000001
69926,222741224,10/1/2022 10:56:32 PM,10/1/2022 12:00:00 PM,10/1/2022 6:00:00 PM,Saturday,7,2,207,20 STANDISH AVE NW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.394335,33.798573,Brookwood,E,8,Part I,1,9ddd6794-415e-4200-bd70-c3f796c34b9a,-84.394335,33.798573
69927,222741451,10/2/2022 12:37:10 AM,10/1/2022 10:02:00 PM,10/2/2022 1:30:00 AM,Saturday,7,1,105,1218 JOSEPH E BOONE BLVD NW,Grocery/ Supermarket,35B,Drug Equipment Violations,SOCIETY,N,,,Evening Watch,-84.427478,33.763242,Hunter Hills,K,3,Part II,,488daca8-ede5-4ed0-8f91-04351d48d7df,-84.427478,33.763242
69928,222741485,10/1/2022 10:26:34 PM,10/1/2022 2:50:00 AM,10/1/2022 6:30:00 AM,Friday,6,6,613,1739 CHESHIRE BRIDGE RD NE,Other/Unknown,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.365186,33.807476,Morningside/Lenox Park,F,6,Part I,1,1e78db05-765f-42b7-a45d-365409693789,-84.3651859999999,33.8074760000001
69929,222741530,10/2/2022 12:03:17 AM,10/1/2022 10:15:00 PM,10/1/2022 10:55:00 PM,Saturday,7,1,108,1875 TREMONT DR NW,Residence/ Home / Apartment / Condo,13C,Intimidation,PERSON,N,,,Evening Watch,-84.448363,33.762803,Dixie Hills,J,3,Part II,1,f0c0efe5-0255-410d-bff6-3d50ab4e0b3e,-84.448363,33.7628030000001
