OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
70822,222811207,10/8/2022 8:23:12 PM,10/7/2022 6:00:00 AM,10/7/2022 6:15:00 AM,Friday,6,2,206,3182 ROSWELL RD NW,Bar/ Nightclub,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.379684,33.842147,South Tuxedo Park,B,8,Part II,1,e920afcd-49fb-4779-8793-76545167281b,-84.3796839999999,33.8421470000001
70823,222811372,10/9/2022 1:12:45 AM,10/8/2022 8:59:00 PM,10/9/2022 1:13:00 AM,Saturday,7,4,407,3500 MARTIN L KING JR DR SW,Department/ Discount/ Store,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.502824,33.757348,Adamsville,H,10,Part II,1,37b5ecf8-d08f-46dd-8854-70f5cb059702,-84.502824,33.757348
70824,222811551,10/8/2022 10:52:16 PM,10/8/2022 10:30:00 PM,10/8/2022 10:30:00 PM,Saturday,7,5,508,300 PEACHTREE ST NW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.387886,33.762539,Downtown,M,2,Part II,,5b6fad33-9bbd-45a8-9275-4ac3b8b02119,-84.387886,33.7625390000001
70825,222811698,10/9/2022 12:40:38 AM,10/8/2022 11:00:00 PM,10/9/2022 12:47:00 AM,Saturday,7,4,407,320 FAIRBURN RD SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.508116,33.748764,Fairburn Mays,H,10,Part II,1,b75297ed-eb3a-46e2-9877-789014617200,-84.508116,33.7487640000001
70826,222811743,10/9/2022 1:23:17 AM,9/13/2022 12:22:00 AM,10/9/2022 1:23:00 AM,Monday,2,1,102,55 MAPLE ST NW,Residence/ Home / Apartment / Condo,23D,Theft From Building,PROPERTY,N,,,Evening Watch,-84.405299,33.755595,Vine City,L,3,Part I,1,80df3f36-6565-4e91-af9e-42740668e87d,-84.405299,33.755595
70827,222811761,10/9/2022 1:54:14 AM,10/9/2022 12:16:00 AM,10/9/2022 2:19:00 AM,Saturday,7,6,602,448 MORELAND AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.349179,33.766284,Inman Park,N,2,Part II,,2f0501a5-bdca-4c7b-8e0d-f1b61c01c3a6,-84.3491789999999,33.766284
70828,222811878,10/9/2022 2:53:28 AM,10/9/2022 1:00:00 AM,10/9/2022 1:22:00 AM,Saturday,7,3,313,957 ROOSEVELT DR SE,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Evening Watch,-84.358533,33.657323,South River Gardens,Z,12,Part I,1,95fb9bc5-15a3-4812-b7d6-877d7d58556f,-84.358533,33.6573230000001
70829,222811906,10/9/2022 2:34:17 AM,10/9/2022 1:45:00 AM,10/9/2022 3:00:00 AM,Saturday,7,5,509,563 SPRING ST NW,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.38851,33.769928,Downtown,M,2,Part II,1,ecbf8d0b-636d-4b0b-bfc5-479823e282ce,-84.3885099999999,33.769928
70830,222811936,10/9/2022 5:19:36 AM,10/9/2022 1:58:00 AM,10/9/2022 3:54:00 AM,Saturday,7,3,313,875 CONLEY RD SE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.3613,33.649598,South River Gardens,Z,12,Part I,1,f1dd9ac9-d6e4-4b40-8657-dc6b8d3a29b1,-84.3613,33.649598
70831,222811979,10/9/2022 3:11:26 AM,10/9/2022 2:17:00 AM,10/9/2022 2:39:00 AM,Saturday,7,6,604,528 IRWIN ST NE,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.370161,33.757813,Old Fourth Ward,M,2,Part II,,bd66d5e3-a7db-48ac-8b31-f9befb78ca54,-84.3701609999999,33.7578130000001
